Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-01-01,Bus,Route_1,05:02,06:27,87,Station_17,Station_1,12
2023-01-01,Metro,Route_3,08:21,10:04,46,Station_13,Station_2,15
2023-01-01,Train,Route_1,08:10,08:59,61,Station_18,Station_5,0
2023-01-01,Train,Route_3,12:56,14:59,44,Station_8,Station_3,7
2023-01-01,Bus,Route_3,07:02,09:06,84,Station_11,Station_15,11
2023-01-01,Bus,Route_10,22:46,24:42,17,Station_17,Station_16,2
2023-01-01,Train,Route_9,22:17,23:40,49,Station_12,Station_16,10
2023-01-01,Metro,Route_8,17:04,18:01,21,Station_2,Station_5,6
2023-01-01,Train,Route_4,18:13,18:35,32,Station_2,Station_2,6
2023-01-01,Train,Route_3,19:15,20:52,49,Station_10,Station_13,15
2023-01-01,Metro,Route_4,05:09,05:30,93,Station_19,Station_1,8
2023-01-01,Bus,Route_6,20:02,21:34,41,Station_5,Station_12,4
2023-01-01,Bus,Route_6,05:48,05:54,74,Station_9,Station_20,5
2023-01-01,Train,Route_1,14:01,15:27,93,Station_13,Station_5,10
2023-01-01,Tram,Route_8,08:45,10:16,32,Station_10,Station_19,13
2023-01-01,Train,Route_1,20:02,20:37,19,Station_18,Station_10,9
2023-01-01,Bus,Route_9,13:16,13:29,84,Station_10,Station_17,10
2023-01-01,Train,Route_8,19:46,21:42,77,Station_17,Station_7,3
2023-01-01,Train,Route_2,15:18,16:53,56,Station_15,Station_5,9
2023-01-01,Bus,Route_6,06:20,07:47,86,Station_14,Station_4,0
2023-01-01,Bus,Route_6,10:31,12:14,48,Station_7,Station_17,14
2023-01-01,Metro,Route_5,05:47,07:14,35,Station_14,Station_13,14
2023-01-01,Train,Route_9,06:01,07:18,38,Station_15,Station_7,2
2023-01-01,Tram,Route_4,14:51,16:53,1,Station_9,Station_19,13
2023-01-01,Train,Route_1,21:56,23:19,89,Station_3,Station_18,5
2023-01-01,Metro,Route_4,14:56,16:11,12,Station_20,Station_9,13
2023-01-01,Train,Route_7,05:55,06:46,29,Station_10,Station_2,4
2023-01-01,Bus,Route_5,18:37,19:40,64,Station_2,Station_17,2
2023-01-01,Bus,Route_1,14:19,14:49,93,Station_8,Station_18,12
2023-01-01,Metro,Route_8,13:52,14:49,84,Station_11,Station_20,14
2023-01-01,Tram,Route_1,20:46,22:19,61,Station_14,Station_20,15
2023-01-01,Metro,Route_5,10:05,10:13,49,Station_14,Station_3,6
2023-01-02,Bus,Route_10,16:28,17:27,79,Station_5,Station_18,2
2023-01-02,Tram,Route_8,07:49,09:54,57,Station_12,Station_9,12
2023-01-02,Metro,Route_7,07:41,08:54,65,Station_11,Station_5,13
2023-01-02,Bus,Route_5,15:45,17:00,5,Station_19,Station_2,10
2023-01-02,Metro,Route_5,16:10,18:12,18,Station_17,Station_15,6
2023-01-02,Tram,Route_5,10:09,10:17,35,Station_15,Station_18,5
2023-01-02,Tram,Route_1,13:08,14:29,80,Station_19,Station_15,5
2023-01-02,Train,Route_8,16:04,16:38,61,Station_8,Station_2,7
2023-01-02,Tram,Route_2,21:50,23:21,32,Station_6,Station_19,3
2023-01-02,Train,Route_2,15:33,15:47,56,Station_19,Station_14,11
2023-01-02,Metro,Route_3,10:08,10:35,87,Station_6,Station_20,2
2023-01-02,Train,Route_8,17:45,19:31,3,Station_18,Station_14,11
2023-01-02,Tram,Route_2,17:50,19:31,26,Station_10,Station_1,3
2023-01-02,Bus,Route_2,15:43,16:57,76,Station_19,Station_5,10
2023-01-02,Metro,Route_9,05:57,07:32,33,Station_1,Station_12,5
2023-01-02,Train,Route_10,16:03,16:32,35,Station_15,Station_7,5
2023-01-02,Bus,Route_8,13:49,14:49,82,Station_7,Station_18,11
2023-01-02,Metro,Route_8,11:32,12:53,68,Station_8,Station_13,1
2023-01-02,Metro,Route_9,05:47,07:10,18,Station_16,Station_4,6
2023-01-02,Tram,Route_2,15:09,17:03,22,Station_9,Station_20,13
2023-01-02,Train,Route_2,22:31,23:31,36,Station_14,Station_13,3
